unix,ds,symbol,open,high,low,close,Volume LINK,Volume USDT,tradecount,Value
1.59546E+12,2020-07-23,LINK/USDT,7.479,8.08,7.406,7.887,34014746.18,266473548.3,502694,7.743
1.59555E+12,2020-07-24,LINK/USDT,7.891,7.915,7.381,7.425,23622137.29,180310889.4,446198,7.648
1.59564E+12,2020-07-25,LINK/USDT,7.425,7.798,7.368,7.678,18163061.68,138616272.1,387665,7.583
1.59572E+12,2020-07-26,LINK/USDT,7.68,7.95,7.064,7.499,28180679.46,212588207.6,465104,7.507
1.59581E+12,2020-07-27,LINK/USDT,7.499,7.499,6.444,7.091,43502286.05,304151838.6,741258,6.9715
1.59589E+12,2020-07-28,LINK/USDT,7.092,7.422,6.902,7.232,20335821.96,145428785.5,451138,7.162
1.59598E+12,2020-07-29,LINK/USDT,7.235,7.465,6.979,7.083,18090614.31,130331812.2,357904,7.222
1.59607E+12,2020-07-30,LINK/USDT,7.084,7.57,7.016,7.405,19724654.06,144349408.8,365840,7.293
1.59615E+12,2020-07-31,LINK/USDT,7.402,7.847,7.402,7.793,21185421.92,162444991.2,415978,7.6245
1.59624E+12,2020-08-01,LINK/USDT,7.793,8.481,7.623,8.32,21918189.47,174303619.5,420454,8.052
1.59633E+12,2020-08-02,LINK/USDT,8.319,8.8,6.609,8.276,56743927.93,467000267.7,1054375,7.7045
1.59641E+12,2020-08-03,LINK/USDT,8.277,9.268,8.132,9.234,33847377.57,290499588.1,625614,8.7
1.5965E+12,2020-08-04,LINK/USDT,9.234,9.93,9.058,9.839,45267886.95,428647590.5,678548,9.494
1.59659E+12,2020-08-05,LINK/USDT,9.839,9.845,9.3,9.516,22406955.08,213937583.9,348601,9.5725
1.59667E+12,2020-08-06,LINK/USDT,9.516,10.29,9.427,10.217,23518847.72,229060970.4,341568,9.8585
1.59676E+12,2020-08-07,LINK/USDT,10.22,10.24,8.984,10.116,30373774.1,298767050.4,416431,9.612
1.59684E+12,2020-08-08,LINK/USDT,10.123,14.7,9.92,12.713,64489589.89,768417411.6,1094765,12.31
1.59693E+12,2020-08-09,LINK/USDT,12.717,14.48,12,13.805,63537773.2,846592211.3,1310788,13.24
1.59702E+12,2020-08-10,LINK/USDT,13.809,14.4,12.356,13.493,38424580.89,516141757.9,918013,13.378
1.5971E+12,2020-08-11,LINK/USDT,13.494,13.555,12.092,13.013,38342035.66,492358093.7,807824,12.8235
1.59719E+12,2020-08-12,LINK/USDT,13.005,16.83,12.6,16.463,59153442.58,875642800.7,1040500,14.715
1.59728E+12,2020-08-13,LINK/USDT,16.468,18.385,15.8,17.196,76351620.31,1299749574,1544064,17.0925
1.59736E+12,2020-08-14,LINK/USDT,17.193,17.646,16.3,16.965,32979168.81,558857160.3,686969,16.973
1.59745E+12,2020-08-15,LINK/USDT,16.966,19.968,16.564,19.228,48896679.82,901061991.7,980122,18.266
1.59754E+12,2020-08-16,LINK/USDT,19.228,20.296,18.508,18.848,32510418.45,624739815,661897,19.402
1.59762E+12,2020-08-17,LINK/USDT,18.847,19.8,15.62,16.812,37262381.78,689675677.5,625071,17.71
1.59771E+12,2020-08-18,LINK/USDT,16.812,17.698,14.65,16.202,62666686.24,1028000677,1150525,16.174
1.5978E+12,2020-08-19,LINK/USDT,16.202,17.274,14.866,16.209,49298553.33,800458299.4,882445,16.07
1.59788E+12,2020-08-20,LINK/USDT,16.217,16.82,15.727,16.091,26172496.37,427367319.5,581159,16.2735
1.59797E+12,2020-08-21,LINK/USDT,16.09,16.192,12.897,13.85,58818372.55,850071864.3,1061012,14.5445
1.59805E+12,2020-08-22,LINK/USDT,13.853,16.347,13.667,15.823,40220876.2,608142781.9,808865,15.007
1.59814E+12,2020-08-23,LINK/USDT,15.817,16.017,14.666,15.172,24963800.28,379258105.1,526411,15.3415
1.59823E+12,2020-08-24,LINK/USDT,15.174,15.899,14.7,15.165,20815127.36,318448130.7,472415,15.2995
1.59831E+12,2020-08-25,LINK/USDT,15.165,15.4,13.455,14.131,32835548.57,475430681.4,729223,14.4275
1.5984E+12,2020-08-26,LINK/USDT,14.124,15.69,14.065,15.228,28368424.11,420368628.1,610517,14.8775
1.59849E+12,2020-08-27,LINK/USDT,15.225,15.56,13.988,14.531,28233193.18,418804256.8,747195,14.774
1.59857E+12,2020-08-28,LINK/USDT,14.531,15.521,14.247,15.135,16290629.9,243756025.9,489559,14.884
1.59866E+12,2020-08-29,LINK/USDT,15.135,17.059,14.982,16.367,27169740.23,439937752.1,652501,16.0205
1.59875E+12,2020-08-30,LINK/USDT,16.371,17.798,16.361,16.498,28119135.61,480977765,617727,17.0795
1.59883E+12,2020-08-31,LINK/USDT,16.5,16.968,15.505,15.586,22823001.45,374020634.6,576612,16.2365
1.59892E+12,2020-09-01,LINK/USDT,15.585,16.525,15.066,16.058,22436022.19,358468557,580292,15.7955
1.599E+12,2020-09-02,LINK/USDT,16.052,16.397,13.92,14.799,26495212.37,399499136.2,685335,15.1585
1.59909E+12,2020-09-03,LINK/USDT,14.803,15,10.9,11.861,44366671.89,595711675.6,1020298,12.95
1.59918E+12,2020-09-04,LINK/USDT,11.857,12.923,10.981,12.372,48990137.85,593570797.2,1059064,11.952
1.59926E+12,2020-09-05,LINK/USDT,12.377,12.773,8.955,10.6,60737926.72,664966784.9,1117865,10.864
1.59935E+12,2020-09-06,LINK/USDT,10.6,13.25,9.7,12.8,47258475.6,549024555.6,901466,11.475
1.59944E+12,2020-09-07,LINK/USDT,12.802,13.175,11.158,12.462,46024604.81,561506737.4,957326,12.1665
1.59952E+12,2020-09-08,LINK/USDT,12.462,12.735,11.026,11.737,32937123.03,391385714.2,724626,11.8805
1.59961E+12,2020-09-09,LINK/USDT,11.738,12.667,11.433,12.343,21959891.07,266818562,513798,12.05
1.5997E+12,2020-09-10,LINK/USDT,12.344,13.281,12.11,12.506,26198088.59,334444749.2,594250,12.6955
1.59978E+12,2020-09-11,LINK/USDT,12.501,12.695,12.015,12.435,17891482.36,221621314.2,440686,12.355
1.59987E+12,2020-09-12,LINK/USDT,12.44,12.75,12.089,12.729,13818410,171699735.5,347382,12.4195
1.59996E+12,2020-09-13,LINK/USDT,12.722,13.238,11.738,12.064,23674965.73,294828461.3,514204,12.488
1.60004E+12,2020-09-14,LINK/USDT,12.068,12.398,11.63,12.137,18472733.96,222133728,442779,12.014
1.60013E+12,2020-09-15,LINK/USDT,12.136,12.249,10.728,10.921,22823211.87,265296796.9,520995,11.4885
1.60021E+12,2020-09-16,LINK/USDT,10.921,11.28,10.475,10.735,22958478.09,249779775.9,505740,10.8775
1.6003E+12,2020-09-17,LINK/USDT,10.736,11.68,10.495,11.016,24904266.69,271875511.8,575337,11.0875
1.60039E+12,2020-09-18,LINK/USDT,11.016,11.139,9.782,10.094,18302072.8,192885648,431138,10.4605
1.60047E+12,2020-09-19,LINK/USDT,10.093,10.501,9.877,10.124,13045683.23,132966436.2,332354,10.189
1.60056E+12,2020-09-20,LINK/USDT,10.124,10.63,9.454,9.74,18592209.46,188005816.3,463842,10.042
1.60065E+12,2020-09-21,LINK/USDT,9.736,9.929,8.451,8.706,42532350.62,380538426.7,797412,9.19
1.60073E+12,2020-09-22,LINK/USDT,8.708,9.073,8.52,8.733,23028768.9,203038681.4,459598,8.7965
1.60082E+12,2020-09-23,LINK/USDT,8.732,8.791,7.309,7.64,44512055.74,358855571.7,741001,8.05
1.60091E+12,2020-09-24,LINK/USDT,7.642,10.4,7.464,9.865,69839000.3,634629354.9,1190135,8.932
1.60099E+12,2020-09-25,LINK/USDT,9.867,11.184,9.363,10.714,53364822.59,541959105.3,1012008,10.2735
1.60108E+12,2020-09-26,LINK/USDT,10.714,11.094,9.964,10.306,34529204.51,361531028.1,828171,10.529
1.60116E+12,2020-09-27,LINK/USDT,10.306,10.985,9.88,10.788,29923709.78,312074347.8,626935,10.4325
1.60125E+12,2020-09-28,LINK/USDT,10.789,11.07,10.135,10.278,24536583.92,260699012.2,659372,10.6025
1.60134E+12,2020-09-29,LINK/USDT,10.279,10.382,9.43,10.129,32843995.82,326180204.8,734146,9.906
1.60142E+12,2020-09-30,LINK/USDT,10.13,10.237,9.563,9.859,21520365.32,211660527.9,523029,9.9
1.60151E+12,2020-10-01,LINK/USDT,9.859,10.41,9.27,9.632,30126992.37,297220038.2,561569,9.84
