unix,ds,symbol,open,high,low,close,Volume NEO,Volume USDT,tradecount,Value
1.62484E+12,2021-06-28,NEO/USDT,31.972,33.347,30.521,33.171,1195341.989,38042026.32,78609,31.934
1.62492E+12,2021-06-29,NEO/USDT,33.173,36.939,32.999,35.148,1495720.348,52816710.75,102719,34.969
1.62501E+12,2021-06-30,NEO/USDT,35.126,37.797,33.444,36.648,1798183.245,63989647.24,113367,35.6205
1.6251E+12,2021-07-01,NEO/USDT,36.648,36.675,33.375,34.097,800890.527,27502392.84,58981,35.025
1.62518E+12,2021-07-02,NEO/USDT,34.094,35.521,33.369,35.438,817010.792,27977363.34,56895,34.445
1.62527E+12,2021-07-03,NEO/USDT,35.439,37.556,34.956,36.348,665897.658,24266968.54,60029,36.256
1.62536E+12,2021-07-04,NEO/USDT,36.335,38.755,35.481,37.545,703392.489,26424771.83,65322,37.118
1.62544E+12,2021-07-05,NEO/USDT,37.518,37.52,35.162,35.916,775188.849,28094331.09,62107,36.341
1.62553E+12,2021-07-06,NEO/USDT,35.962,37.987,35.838,36.88,510398.437,18875836.85,54582,36.9125
1.62562E+12,2021-07-07,NEO/USDT,36.864,38.451,36.482,36.998,469757.283,17715684.65,48075,37.4665
1.6257E+12,2021-07-08,NEO/USDT,37.018,37.052,33.179,34.018,745638.529,25738663.26,68488,35.1155
1.62579E+12,2021-07-09,NEO/USDT,34.014,35.227,32.222,34.674,550068.036,18717902.92,45103,33.7245
