unix,ds,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount,Value
1.60609E+12,2020-11-23,BNB/USDT,30.0291,31.1,29.786,30.995,2920522.887,88971207.33,302496,30.443
1.60618E+12,2020-11-24,BNB/USDT,30.9994,35.14,30.7934,33.9407,7296367.369,240609850.8,572451,32.9667
1.60626E+12,2020-11-25,BNB/USDT,33.9451,35.4338,30.439,31.2953,4589237.082,152462923.2,416580,32.9364
1.60635E+12,2020-11-26,BNB/USDT,31.295,31.7708,26.35,28.2356,6241853.013,179684915.4,579228,29.0604
1.60644E+12,2020-11-27,BNB/USDT,28.2354,28.7175,27.2042,28.4606,2317359.795,65177587.38,241590,27.96085
1.60652E+12,2020-11-28,BNB/USDT,28.4606,29.6175,27.9,29.1766,2636652.594,76333840.09,199459,28.75875
1.60661E+12,2020-11-29,BNB/USDT,29.1552,30.45,28.8544,30.1045,2857702.301,84748920.17,176612,29.6522
1.60669E+12,2020-11-30,BNB/USDT,30.1003,31.5999,29.723,31.4935,2978036.229,91534747.06,242039,30.66145
1.60678E+12,2020-12-01,BNB/USDT,31.4935,31.8875,29.17,30.1996,3139022.083,96681205.62,311551,30.52875
1.60687E+12,2020-12-02,BNB/USDT,30.2003,30.9993,29.5306,30.2875,2360296.308,71525356.85,191861,30.26495
1.60695E+12,2020-12-03,BNB/USDT,30.2724,30.793,29.8568,30.7065,1924462.466,58447530.68,152875,30.3249
1.60704E+12,2020-12-04,BNB/USDT,30.7099,31.1371,28.7051,29.0231,2064574.445,61840679.76,216245,29.9211
1.60713E+12,2020-12-05,BNB/USDT,29.0315,30.0588,28.6588,29.728,1836870.147,53893876.36,177713,29.3588
1.60721E+12,2020-12-06,BNB/USDT,29.7296,30.1819,29.0124,29.5026,1330813.899,39419545.07,133765,29.59715
1.6073E+12,2020-12-07,BNB/USDT,29.4912,29.6685,29.06,29.37,1219543.166,35795857.66,114943,29.36425
1.60739E+12,2020-12-08,BNB/USDT,29.3705,29.4998,27.45,27.6705,1844102.056,52562094.3,217658,28.4749
