unix,ds,symbol,open,high,low,close,Volume ZEC,Volume USDT,tradecount,Value
1.56911E+12,2019-09-22,ZEC/USDT,47.72,47.76,45.66,46.13,8622.55267,399557.6305,2320,46.71
1.5692E+12,2019-09-23,ZEC/USDT,46.13,46.19,43.47,44.09,15346.64963,692408.8457,3905,44.83
1.56928E+12,2019-09-24,ZEC/USDT,44.04,45.92,29.69,35.92,48838.41928,1836009.218,10928,37.805
1.56937E+12,2019-09-25,ZEC/USDT,35.83,39,33.56,37.91,81999.77963,2980560.954,15308,36.28
1.56946E+12,2019-09-26,ZEC/USDT,37.91,39.15,33.12,34.92,41520.17423,1497276.593,7925,36.135
1.56954E+12,2019-09-27,ZEC/USDT,34.94,38.05,34.4,37.47,35322.87513,1263987.91,7261,36.225
1.56963E+12,2019-09-28,ZEC/USDT,37.48,41.34,36.94,40.3,69265.11409,2726306.628,11105,39.14
1.56972E+12,2019-09-29,ZEC/USDT,40.35,40.53,36.26,37.74,25909.13818,978482.7684,6292,38.395
1.5698E+12,2019-09-30,ZEC/USDT,37.71,39.99,36.26,38.69,28505.18124,1082477.708,7642,38.125
1.56989E+12,2019-10-01,ZEC/USDT,38.69,39.6,37.76,38.18,16307.5959,628695.6689,5575,38.68
1.56997E+12,2019-10-02,ZEC/USDT,38.18,38.39,37.23,38.13,11220.06392,424463.9445,3859,37.81
1.57006E+12,2019-10-03,ZEC/USDT,38.13,38.3,36.41,37.23,9357.94696,349733.7656,3350,37.355
1.57015E+12,2019-10-04,ZEC/USDT,37.23,37.61,35.91,37.04,13991.63457,516990.1054,4354,36.76
1.57023E+12,2019-10-05,ZEC/USDT,37.06,37.13,36.3,36.85,6307.5912,231871.9342,2624,36.715
1.57032E+12,2019-10-06,ZEC/USDT,36.85,37.03,35.25,35.57,14031.72051,505996.1701,4826,36.14
1.57041E+12,2019-10-07,ZEC/USDT,35.56,37.97,35.14,37.4,31221.17793,1149048.978,7412,36.555
1.57049E+12,2019-10-08,ZEC/USDT,37.42,38.08,36,36.48,23617.81091,872119.2965,6400,37.04
1.57058E+12,2019-10-09,ZEC/USDT,36.5,38.27,36.1,37.99,27398.9084,1020681.406,7006,37.185
1.57067E+12,2019-10-10,ZEC/USDT,38,38.11,36.95,37.43,20123.38293,755037.6231,6269,37.53
1.57075E+12,2019-10-11,ZEC/USDT,37.46,38.28,35.91,36.07,33258.21814,1218716.635,8623,37.095
1.57084E+12,2019-10-12,ZEC/USDT,36.06,37.13,35.79,36.59,24114.59492,876477.1934,4970,36.46
1.57092E+12,2019-10-13,ZEC/USDT,36.55,37.46,36.31,36.9,18001.05436,664198.1966,4732,36.885
1.57101E+12,2019-10-14,ZEC/USDT,36.94,37.35,36.44,37.04,19095.20262,704358.6275,4048,36.895
1.5711E+12,2019-10-15,ZEC/USDT,37.04,37.68,36.63,36.82,24159.8787,893577.0813,5822,37.155
1.57118E+12,2019-10-16,ZEC/USDT,36.82,36.98,35.21,35.79,20340.34313,732721.6504,5374,36.095
1.57127E+12,2019-10-17,ZEC/USDT,35.78,36.83,35.5,36.13,21606.55914,782345.7254,4606,36.165
1.57136E+12,2019-10-18,ZEC/USDT,36.15,36.83,35.44,35.83,21391.10792,771503.4551,5198,36.135
1.57144E+12,2019-10-19,ZEC/USDT,35.83,36.5,35.36,35.89,14395.17412,517563.893,4377,35.93
1.57153E+12,2019-10-20,ZEC/USDT,35.9,36.71,35.51,36.32,12184.09907,439408.719,3827,36.11
1.57162E+12,2019-10-21,ZEC/USDT,36.3,36.96,35.91,36.7,18544.69527,675462.1034,19735,36.435
1.5717E+12,2019-10-22,ZEC/USDT,36.7,36.89,35.78,35.84,16112.79319,587769.8936,4877,36.335
1.57179E+12,2019-10-23,ZEC/USDT,35.82,35.94,31.85,32.91,54242.48548,1830413.423,12098,33.895
1.57188E+12,2019-10-24,ZEC/USDT,32.9,33.32,32.17,33.13,18079.69934,591968.921,5188,32.745
1.57196E+12,2019-10-25,ZEC/USDT,33.12,37.66,33.1,37.11,66399.48916,2372378.914,14230,35.38
1.57205E+12,2019-10-26,ZEC/USDT,37.13,38.98,35.37,36,76186.31738,2822059.983,19551,37.175
1.57213E+12,2019-10-27,ZEC/USDT,36.02,39.31,35.32,37.32,63638.67048,2373996.652,14481,37.315
1.57222E+12,2019-10-28,ZEC/USDT,37.32,42.21,37.31,37.79,109471.6264,4346998.526,20413,39.76
1.57231E+12,2019-10-29,ZEC/USDT,37.8,39.71,37.76,39.21,52265.5876,2025676.526,12080,38.735
1.57239E+12,2019-10-30,ZEC/USDT,39.21,39.61,37.35,38.37,41072.7746,1580144.641,9773,38.48
1.57248E+12,2019-10-31,ZEC/USDT,38.37,38.6,36.93,37.53,29721.40265,1121804.504,7227,37.765
1.57257E+12,2019-11-01,ZEC/USDT,37.54,37.87,36.83,37.66,24608.46426,918032.7897,5624,37.35
1.57265E+12,2019-11-02,ZEC/USDT,37.68,37.96,37.34,37.62,16532.48632,622575.5362,3714,37.65
1.57274E+12,2019-11-03,ZEC/USDT,37.61,37.8,36.68,37.03,16012.0809,593686.8202,3685,37.24
1.57283E+12,2019-11-04,ZEC/USDT,37.03,38.25,36.74,37.77,37918.77497,1424994.765,6543,37.495
1.57291E+12,2019-11-05,ZEC/USDT,37.76,39.26,37.13,38.68,54744.72253,2089949.735,9192,38.195
1.573E+12,2019-11-06,ZEC/USDT,38.69,39.52,38.21,38.82,43308.79047,1684517.645,8398,38.865
1.57308E+12,2019-11-07,ZEC/USDT,38.81,39.32,38.23,38.6,77003.13021,2987921.164,10490,38.775
1.57317E+12,2019-11-08,ZEC/USDT,38.62,38.9,35.97,36.43,47286.99327,1757180.448,8823,37.435
1.57326E+12,2019-11-09,ZEC/USDT,36.44,37.2,36.32,36.75,19005.66592,699343.6658,4164,36.76
