unix,ds,symbol,open,high,low,close,Volume EOS,Volume USDT,tradecount,Value
1.55321E+12,2019-03-22,EOS/USDT,3.6192,3.6537,3.5671,3.6176,3671989.04,13272059.75,25019,3.6104
1.5533E+12,2019-03-23,EOS/USDT,3.6137,3.7067,3.5985,3.6647,4302369.88,15727646.91,28836,3.6526
1.55339E+12,2019-03-24,EOS/USDT,3.6643,3.6643,3.5822,3.6314,3919667.95,14198299.06,26312,3.62325
1.55347E+12,2019-03-25,EOS/USDT,3.6314,3.6757,3.5714,3.65,6356654.2,23079241.6,41187,3.62355
1.55356E+12,2019-03-26,EOS/USDT,3.65,3.769,3.5914,3.7439,6076446.86,22177757.54,39814,3.6802
1.55364E+12,2019-03-27,EOS/USDT,3.7439,4.343,3.716,4.2539,17230440.01,70223116.15,116144,4.0295
1.55373E+12,2019-03-28,EOS/USDT,4.2556,4.3198,4.1657,4.2442,7697251.93,32625626.84,57499,4.24275
1.55382E+12,2019-03-29,EOS/USDT,4.244,4.406,4.2088,4.302,7848828.29,33746780.77,59115,4.3074
1.5539E+12,2019-03-30,EOS/USDT,4.3023,4.3232,3.9869,4.1502,7223240.88,30213669.04,54989,4.15505
1.55399E+12,2019-03-31,EOS/USDT,4.1502,4.2557,4.0788,4.1893,4909980.94,20458968.47,42479,4.16725
1.55408E+12,2019-04-01,EOS/USDT,4.1895,4.2536,4.1382,4.2043,5752360.2,24134876.45,49025,4.1959
1.55416E+12,2019-04-02,EOS/USDT,4.2042,5.0889,4.1541,5.0232,17527784.39,80601547.33,163611,4.6215
1.55425E+12,2019-04-03,EOS/USDT,5.022,5.911,4.7111,5.2089,24710380.98,130802828.8,258553,5.31105
1.55434E+12,2019-04-04,EOS/USDT,5.2089,5.3246,4.8345,5.065,13444751.37,68772397.45,173272,5.07955
1.55442E+12,2019-04-05,EOS/USDT,5.0671,5.371,5.0671,5.3097,8065667.52,42299547.07,117230,5.21905
1.55451E+12,2019-04-06,EOS/USDT,5.3118,5.6803,5.0701,5.3288,9351227.61,50463643.93,130517,5.3752
1.5546E+12,2019-04-07,EOS/USDT,5.3275,5.495,5.2415,5.4207,7355425.71,39691899.05,123187,5.36825
1.55468E+12,2019-04-08,EOS/USDT,5.4174,5.6654,5.1977,5.5003,11160092.22,60742208.27,132530,5.43155
1.55477E+12,2019-04-09,EOS/USDT,5.5006,5.6223,5.2612,5.5231,9046713.2,49524359.8,107934,5.44175
1.55485E+12,2019-04-10,EOS/USDT,5.5223,5.973,5.5044,5.8417,14373790.86,83250879.67,164095,5.7387
1.55494E+12,2019-04-11,EOS/USDT,5.8425,5.8473,5.05,5.2778,16559879.59,89076328.18,174189,5.44865
1.55503E+12,2019-04-12,EOS/USDT,5.2788,5.44,5.0276,5.3313,8600254.45,45262362.65,89565,5.2338
1.55511E+12,2019-04-13,EOS/USDT,5.3305,5.398,5.1855,5.2857,3078670.45,16309969.15,35637,5.29175
1.5552E+12,2019-04-14,EOS/USDT,5.2857,5.57,5.2152,5.5422,3755963.39,20164848.11,37533,5.3926
1.55529E+12,2019-04-15,EOS/USDT,5.5421,5.6087,5.2279,5.3234,6061124.01,32900157.62,57811,5.4183
1.55537E+12,2019-04-16,EOS/USDT,5.3263,5.5164,5.2749,5.49,4632515.82,24944720.32,43755,5.39565
1.55546E+12,2019-04-17,EOS/USDT,5.4871,5.5499,5.3515,5.4153,3704667.9,20106033.96,35786,5.4507
1.55555E+12,2019-04-18,EOS/USDT,5.4183,5.547,5.4083,5.4654,4362293.35,23873294.32,37362,5.47765
1.55563E+12,2019-04-19,EOS/USDT,5.4682,5.4784,5.3356,5.4546,2992148.97,16228588.72,29976,5.407
1.55572E+12,2019-04-20,EOS/USDT,5.4546,5.4996,5.365,5.4271,2499246.17,13585943.15,24902,5.4323
1.5558E+12,2019-04-21,EOS/USDT,5.4262,5.45,4.9071,5.1987,6621468.94,34119500.02,56870,5.17855
1.55589E+12,2019-04-22,EOS/USDT,5.2,5.2879,5.0844,5.2186,4249609.21,22071072.72,39671,5.18615
1.55598E+12,2019-04-23,EOS/USDT,5.2185,5.3698,5.07,5.1033,4908584.23,25792670.15,53272,5.2199
1.55606E+12,2019-04-24,EOS/USDT,5.1006,5.1431,4.56,4.773,10048980.02,48320820.77,99939,4.85155
1.55615E+12,2019-04-25,EOS/USDT,4.7737,4.8463,4.5226,4.6112,7340337.9,34484548.15,78037,4.68445
1.55624E+12,2019-04-26,EOS/USDT,4.6089,4.9736,4.526,4.7925,8195243.18,38660932.25,86646,4.7498
1.55632E+12,2019-04-27,EOS/USDT,4.7928,4.8362,4.6959,4.7403,2341913.67,11154900.56,24717,4.76605
1.55641E+12,2019-04-28,EOS/USDT,4.7404,4.7974,4.6333,4.7438,2251382.35,10660682.37,26330,4.71535
1.5565E+12,2019-04-29,EOS/USDT,4.7453,4.757,4.45,4.5138,4119026.71,18835793.94,45112,4.6035
1.55658E+12,2019-04-30,EOS/USDT,4.5127,4.85,4.5098,4.8159,4605826.46,21453854.53,55727,4.6799
1.55667E+12,2019-05-01,EOS/USDT,4.817,4.8674,4.6642,4.7617,3282629.37,15629160.24,38966,4.7658
1.55676E+12,2019-05-02,EOS/USDT,4.7633,4.82,4.6221,4.783,3808800.03,18051068.91,49237,4.72105
1.55684E+12,2019-05-03,EOS/USDT,4.7822,5.2099,4.7553,5.0841,6934418.45,34500544.14,85765,4.9826
1.55693E+12,2019-05-04,EOS/USDT,5.0834,5.1954,4.77,4.9472,6212326.05,30820815.99,76181,4.9827
1.55701E+12,2019-05-05,EOS/USDT,4.949,5.0162,4.8309,4.879,3289735.46,16187173.41,41725,4.92355
1.5571E+12,2019-05-06,EOS/USDT,4.8808,4.9903,4.6367,4.894,5344850.46,25640291.41,57482,4.8135
1.55719E+12,2019-05-07,EOS/USDT,4.8935,5.06,4.805,4.8492,5194763.13,25658586.82,59695,4.9325
1.55727E+12,2019-05-08,EOS/USDT,4.8484,4.9381,4.7559,4.9,3239903.53,15754343.08,38251,4.847
1.55736E+12,2019-05-09,EOS/USDT,4.8993,5,4.783,4.85,3180153.16,15504124.26,37790,4.8915
1.55745E+12,2019-05-10,EOS/USDT,4.8499,4.9545,4.5706,4.8134,5683603.38,27236858.28,70796,4.76255
1.55753E+12,2019-05-11,EOS/USDT,4.8144,5.7602,4.8144,5.4125,12663907.62,66821529.75,132942,5.2873
