unix,ds,symbol,open,high,low,close,Volume XLM,Volume USDT,tradecount,Value
1.5876E+12,2020-04-23,XLM/USDT,0.05496,0.06629,0.05496,0.06208,411260032.8,25254270.01,151624,0.060625
1.58769E+12,2020-04-24,XLM/USDT,0.06208,0.0662,0.06006,0.06116,197325670.9,12420157.92,69622,0.06313
1.58777E+12,2020-04-25,XLM/USDT,0.0612,0.06335,0.06066,0.06177,84813313.8,5270853.601,31661,0.062005
1.58786E+12,2020-04-26,XLM/USDT,0.06178,0.06295,0.06076,0.06188,88180834.2,5460825.623,32866,0.061855
1.58795E+12,2020-04-27,XLM/USDT,0.06194,0.06874,0.06123,0.06719,178927775.2,11557740.46,62973,0.064985
1.58803E+12,2020-04-28,XLM/USDT,0.06718,0.07148,0.06636,0.06855,316634590.7,21755497.66,93083,0.06892
1.58812E+12,2020-04-29,XLM/USDT,0.06853,0.07295,0.06806,0.07216,359436702.1,25414938.38,110294,0.070505
1.5882E+12,2020-04-30,XLM/USDT,0.07218,0.0745,0.06546,0.06756,345549033.7,24395645.53,117133,0.06998
1.58829E+12,2020-05-01,XLM/USDT,0.06749,0.07365,0.06745,0.0729,180074362.4,12887635.27,89177,0.07055
1.58838E+12,2020-05-02,XLM/USDT,0.07288,0.07634,0.07143,0.07552,177129118.7,13080235.13,77915,0.073885
1.58846E+12,2020-05-03,XLM/USDT,0.07549,0.07713,0.07148,0.073,177722234.6,13133194.74,68924,0.074305
1.58855E+12,2020-05-04,XLM/USDT,0.07294,0.07438,0.06723,0.07332,196292692.5,13877933.4,62319,0.070805
1.58864E+12,2020-05-05,XLM/USDT,0.07337,0.07443,0.07022,0.07208,119135115.2,8638250.212,37569,0.072325
1.58872E+12,2020-05-06,XLM/USDT,0.07208,0.0732,0.06943,0.06962,143758055.9,10363265.89,52515,0.071315
1.58881E+12,2020-05-07,XLM/USDT,0.06962,0.07358,0.06857,0.07207,161343123,11624653.17,54517,0.071075
1.5889E+12,2020-05-08,XLM/USDT,0.07207,0.0745,0.07036,0.07252,136690460.7,9910193.295,45680,0.07243
1.58898E+12,2020-05-09,XLM/USDT,0.07255,0.07365,0.07132,0.07141,94171007.1,6824728.694,29575,0.072485
1.58907E+12,2020-05-10,XLM/USDT,0.07141,0.07148,0.05873,0.06405,356967838.6,22752356.06,113133,0.065105
1.58916E+12,2020-05-11,XLM/USDT,0.06403,0.06523,0.06023,0.06234,175272528.3,11012314.44,44938,0.06273
1.58924E+12,2020-05-12,XLM/USDT,0.06239,0.07046,0.06208,0.07017,212799812,14294494.05,51366,0.06627
1.58933E+12,2020-05-13,XLM/USDT,0.07013,0.0709,0.06801,0.06977,140208968.9,9761991.362,41932,0.069455
1.58941E+12,2020-05-14,XLM/USDT,0.06978,0.07073,0.06795,0.06926,139057607.3,9669242.111,35545,0.06934
1.5895E+12,2020-05-15,XLM/USDT,0.06926,0.06989,0.06678,0.06728,118493067.7,8127906.857,28336,0.068335
1.58959E+12,2020-05-16,XLM/USDT,0.06731,0.06859,0.0666,0.06806,99535688.8,6753090.468,23968,0.067595
1.58967E+12,2020-05-17,XLM/USDT,0.06806,0.07167,0.06781,0.06873,107788729.4,7519222.396,32336,0.06974
1.58976E+12,2020-05-18,XLM/USDT,0.06874,0.07135,0.0686,0.07027,127333963.3,8911915.739,33922,0.069975
1.58985E+12,2020-05-19,XLM/USDT,0.07027,0.07029,0.0685,0.06979,93320005.9,6478179.281,24672,0.069395
1.58993E+12,2020-05-20,XLM/USDT,0.06976,0.07214,0.06725,0.07093,153374439.4,10783425.4,40021,0.069695
1.59002E+12,2020-05-21,XLM/USDT,0.07095,0.0718,0.06415,0.06644,150426160.8,10191411.57,33624,0.067975
1.59011E+12,2020-05-22,XLM/USDT,0.06648,0.06939,0.0655,0.06811,99520897.5,6731763.403,29614,0.067445
1.59019E+12,2020-05-23,XLM/USDT,0.06812,0.06923,0.06658,0.06713,58115151.7,3935274.815,13997,0.067905
1.59028E+12,2020-05-24,XLM/USDT,0.06711,0.06825,0.06381,0.0639,64032828.8,4252116.965,16802,0.06603
1.59036E+12,2020-05-25,XLM/USDT,0.06391,0.06625,0.0634,0.06624,71117504.6,4619712.914,17386,0.064825
1.59045E+12,2020-05-26,XLM/USDT,0.06623,0.0664,0.06359,0.06506,65773451.1,4275398.659,15261,0.064995
1.59054E+12,2020-05-27,XLM/USDT,0.06506,0.06766,0.06449,0.06597,92401122.4,6124114.979,23695,0.066075
1.59062E+12,2020-05-28,XLM/USDT,0.06603,0.06991,0.0657,0.0691,91511023.6,6156295.842,25894,0.067805
1.59071E+12,2020-05-29,XLM/USDT,0.06906,0.06989,0.06697,0.06777,72948276.9,4965008.989,18362,0.06843
1.5908E+12,2020-05-30,XLM/USDT,0.06776,0.07311,0.06706,0.07252,151639387.6,10650635.97,37594,0.070085
